32°F;0°C
50°F;10°C
60°F;15.5°C
70°F;21°C
80°F;26.6°C
Black ice;Verglas
Blow;Souffler
Breeze;Brise
Bright;Ensoleillé
Chill;Refroidissement
Cloudy;Nuageux
Damp;Humide
Drought;Sécheresse
Dull;Maussade
Earthquake;Tremblement de terre
Flood;Inondation
Fog;Brouillard
Freeze;Geler
Frost;Gelée
Gale;Coup de vent
Gust;Rafale
Hail;Grêle
Hazard;Danger
Haze;Brume légère
Heat;Chaleur
Heat wave;Vague de chaleur, canicule
Icy;Verglacé
Lightning;Foudre
Lower seventies;Environ 21°C
Lull;Accalmie
Melt;Fondre
Mid sixties;Environ 15°C
Mild;Doux
Mist;Brume
Outdoors;Dehors
Overcast;Couvert
Pour;Couler, ruisseler
Rainfall;Précipitation
Ray;Rayon
Shine;Briller
Shower;Averse
Sleet;Grésil
Snowbound;Bloqué par la neige
Spell;Période
Storm;Tempête
Swelling;Crue
Thaw;Dégeler
Thunderstorm;Orage
Upper eighties;Environ 32°C
Wet;Mouillé 
Aircraft;Avion
Airline;Compagnie aérienne
Airline ticket counter;Comptoir d’une compagnie aérienne
Aisle ;Couloir
Announcement;Annonce, avis
Arrival;Arrivée
Baggage claim;Lieu de récupération des bagages
Board;Monter à bord
Boarding pass;Carte d’embarquement
Book;Réserver
Bridge;Pont
Cab;Taxi
Cabin;Carlingue
Cabin attendant;Membre d’équipage
Call at;Faire escale
Car ;Wagon
Carrier;Transporteur
Cart;Chariot
Check in;Enregistrer ses bagages
Commute;Faire la navette domicile-travail
Concourse;Hall
Connecting flight;Vol de correspondance
Connecting passenger ;Passager en transit
Crew ;Equipage
Crowded;Bondé
Cruising altitude;Altitude de croisière
Customs;Douane
Delay;Retard
Departure;Départ
Disabled;Hors service
Duty-free;Hors-taxe
Empty;Vide
Fare;Prix du billet
Flight;Vol
Flight attendant;Membre d’équipage
Flight deck;Cabine de pilotage
Freight;Fret
Front;Avant
Full;Plein
Get in;Monter
Get off;Descendre
Jet-lag;Décalage horaire
Land;Atterrir
Landing card;Carte de débarquement
Lounge ;Salon
Luggage (indénomb);Bagages
Luggage rack;Porte-bagages (train, bus)
Miss;Rater
Network;Réseau
Nonstop;Sans escale
On time;A l’heure
One-way ticket;Aller-simple
Overhead compartment;Porte-bagages  (avion)
Package tour;Voyage organisé
Passenger;Passager
Platform;Quai de gare
Proceed through gate…;Se présenter à la porte n°
Railroad;Voie ferrée
Rear;Arrière
Repairs;Réparations
Retrieve;Récupérer (bagages)
Resume;Recommencer/reprendre (activité)
Ride;Trajet/voyager (train, bus, métro)
Rider;Passager
Round trip ticket/return ticket;Aller-retour
Route;Itinéraire
Row;Rangée
Runway;Piste
Rush hour;Heure de pointe
Schedule ;Horaire
Seat;Siège
Seatbelt;Ceinture de sécurité
Shuttle;Navette
Stopover;Escale
Stow;Arrimer
Suitcase ;Valise
Take off;Décoller
Tour;Voyage, excursion
Track;Voie
Trip;Voyage
Trolley;Chariot
Window;Hublot
