Answering machine;Répondeur
Area code;Indicatif
Be cut off;Être coupé
Beep;Bip
Busy;Occupé (tonalité)
Call back;Rappeler
Cell phone;Téléphone portable
Connection;Communication
Cut off;Couper
Dial ;Composer
Emergency call;Appel d’urgence
Engaged;Occupé (ligne)
Extension;Poste (tél. d’un correspondant)
Hang up;Raccrocher
Hold on;Rester en ligne
Hold the line;Rester en ligne
Key (ki:);Touche
Off the hook;Décroché
Phone directory;Annuaire téléphonique
Press a key;Appuyer sur une touche
Put someone through;Passer qqu’un à
Receiver ;Combiné
Recording;Enregistrement
Speak up;Parler plus fort
Speaking;A l’appareil
Spell;Epeler
Stay on the line;Rester en ligne
Subscriber;Abonné
Switchboard;Standard téléphonique
Telephone booth;Cabine téléphonique
Time zone;Fuseau horaire
Toll-free number;Numéro vert
Tone;Tonalité
